country,date,incidence
Austria,2021-10-20,263.146
Austria,2021-10-21,283.17
Austria,2021-10-22,307.22
Austria,2021-10-23,324.718
Austria,2021-10-24,345.908
Austria,2021-10-25,368.009
Austria,2021-10-26,380.761
Austria,2021-10-27,392.251
Austria,2021-10-28,400.449
Austria,2021-10-29,411.395
Austria,2021-10-30,450.531
Austria,2021-10-31,486.838
Austria,2021-11-01,520.396
Austria,2021-11-02,552.325
Austria,2021-11-03,581.696
Austria,2021-11-04,615.239
Austria,2021-11-05,689.867
Austria,2021-11-06,751.119
Austria,2021-11-07,810.517
Austria,2021-11-08,850.132
Austria,2021-11-09,901.509
Austria,2021-11-10,940.932
Austria,2021-11-11,1026.842
Austria,2021-11-12,1094.502
Austria,2021-11-13,1107.222
Austria,2021-11-14,1154.092
Austria,2021-11-15,1207.051
Austria,2021-11-16,1257.724
Austria,2021-11-17,1309.372
Austria,2021-11-18,1381.044
Austria,2021-11-19,1409.712
Austria,2021-11-20,1478.427
Austria,2021-11-21,1500.991
Austria,2021-11-22,1543.339
Austria,2021-11-23,1550.498
Austria,2021-11-24,1565.999
Austria,2021-11-25,1534.821
Austria,2021-11-26,1525.649
Austria,2021-11-27,1481.399
Austria,2021-11-28,1449.071
Austria,2021-11-29,1377.528
Austria,2021-11-30,1319.056
Austria,2021-12-01,1257.42
Austria,2021-12-02,1200.579
Austria,2021-12-03,1109.907
Austria,2021-12-04,1031.923
Austria,2021-12-05,939.59
Austria,2021-12-06,871.05
Austria,2021-12-07,811.524
Austria,2021-12-08,752.317
Austria,2021-12-09,674.11
Austria,2021-12-10,603.03
Austria,2021-12-11,537.399
Austria,2021-12-12,514.356
Austria,2021-12-13,481.436
Austria,2021-12-14,465.648
Austria,2021-12-15,442.077
Austria,2021-12-16,411.267
Austria,2021-12-17,389.151
Austria,2021-12-18,382.503
Austria,2021-12-19,343.271
Austria,2021-12-20,323.088
Austria,2021-12-21,301.1
Austria,2021-12-22,285.503
Austria,2021-12-23,264.473
Austria,2021-12-24,252.248
Austria,2021-12-25,245.344
Austria,2021-12-26,241.525
Austria,2021-12-27,235.772
Austria,2021-12-28,233.423
Austria,2021-12-29,243.81
Austria,2021-12-30,252.312
Austria,2021-12-31,268.5
Austria,2022-01-01,293.157
Austria,2022-01-02,318.406
Austria,2022-01-03,340.427
Austria,2022-01-04,368.185
Austria,2022-01-05,422.389
Austria,2022-01-06,529.713
Austria,2022-01-07,619.122
Austria,2022-01-08,700.03
Austria,2022-01-09,753.34
Austria,2022-01-10,876.116
Austria,2022-01-11,994.386
Austria,2022-01-12,1099.887
Austria,2022-01-13,1202.672
Austria,2022-01-14,1330.402
Austria,2022-01-15,1458.867
Austria,2022-01-16,1618.302
Austria,2022-01-17,1684.332
Austria,2022-01-18,1767.701
Austria,2022-01-19,1858.741
Austria,2022-01-20,2044.191
Austria,2022-01-21,2177.978
Austria,2022-01-22,2380.767
Austria,2022-01-23,2535.04
Austria,2022-01-24,2670.984
Austria,2022-01-25,2815.157
Austria,2022-01-26,2949.056
Austria,2022-01-27,3109.513
Austria,2022-01-28,3278.648
Austria,2022-01-29,3411.252
Austria,2022-01-30,3523.385
Austria,2022-01-31,3616.758
Austria,2022-02-01,3636.03
Austria,2022-02-02,3655.014
Austria,2022-02-03,3751.934
Austria,2022-02-04,3722.227
Austria,2022-02-05,3706.87
Austria,2022-02-06,3702.827
Austria,2022-02-07,3716.89
Austria,2022-02-08,3710.194
Austria,2022-02-09,3729.035
Austria,2022-02-10,3664.187
Austria,2022-02-11,3684.05
Austria,2022-02-12,3624.412
Austria,2022-02-13,3565.014
Austria,2022-02-14,3482.939
Austria,2022-02-15,3452.145
Austria,2022-02-16,3410.533
Austria,2022-02-17,3387.33
Austria,2022-02-18,3318.694
Austria,2022-02-19,3274.941
Austria,2022-02-20,3210.956
Austria,2022-02-21,3160.378
Austria,2022-02-22,3118.19
Austria,2022-02-23,3073.654
Austria,2022-02-24,3018.058
Austria,2022-02-25,2981.048
Austria,2022-02-26,2969.383
Austria,2022-02-27,2958.548
Austria,2022-02-28,2963.422
Austria,2022-03-01,2961.169
Austria,2022-03-02,3019.608
Austria,2022-03-03,3109.593
